adresse_typevoie,nb_entites,surface_totale_reelle,competence,presence_cloture,type_ev,poly_area,categorie,annee_ouverture,surface_horticole,perimeter,ouvert_ferme,densite_espaces,ratio_horticole,latitude,longitude,arrondissement,zone_paris,age_espace,taille_categorie,latitude_fixed,longitude_fixed
RUE,6.0,200.0,CA,0,Décorations sur la voie publique,87.0,Jardiniere,2008,200.0,112.50620419,2,0.03,1.0,2.317686685070053,48.83664313708025,14.0,Ouest,17,Petit,48.83664313708025,2.317686685070053
,1.0,1500.0,0,0,Périphérique,279.0,Talus,2015,1473.1645702866226,200.61725476,2,0.0006666666666666666,0.9821097135244151,2.344563453419747,48.816566324569635,13.0,Sud,10,Moyen,48.816566324569635,2.344563453419747
,1.0,1500.0,0,0,Périphérique,1602.0,Talus,2015,1473.1645702866226,386.66575259,2,0.0006666666666666666,0.9821097135244151,2.279591105702944,48.832577399040254,15.0,Ouest,10,Moyen,48.832577399040254,2.279591105702944
BOULEVARD DE LA,1.0,1718.0,CA,1,Promenades ouvertes,1102.0,Square,1876,1120.0,149.27065523,0,0.0005820721769499418,0.6519208381839348,2.358648077655123,48.884674236927914,18.0,Nord,149,Moyen,48.884674236927914,2.358648077655123
RUE DE,1.0,990.0,CA,0,Promenades ouvertes,946.0,Promenade,1936,354.0,159.26880028,1,0.00101010101010101,0.3575757575757576,2.3329472315102002,48.84910616340914,6.0,Est,89,Petit,48.84910616340914,2.3329472315102002
PLACE DU,1.0,1454.0,CA,1,Promenades ouvertes,1495.0,Square,1967,730.0,227.83132716,0,0.000687757909215956,0.5020632737276479,2.313187982485135,48.8509756893605,7.0,Est,58,Moyen,48.8509756893605,2.313187982485135
RUE,1.0,1180.0,CP,1,Promenades ouvertes,1446.0,Square,1964,558.0,198.81969667,0,0.000847457627118644,0.4728813559322034,2.3367433792051573,48.878495609390626,9.0,Est,61,Moyen,48.878495609390626,2.3367433792051573
BOULEVARD,2.0,182.0,CA,0,Décorations sur la voie publique,185.0,Jardiniere,2019,182.0,80.54357986,2,0.01098901098901099,1.0,2.3573795558852013,48.81917206097789,13.0,Sud,6,Petit,48.81917206097789,2.3573795558852013
RUE,1.0,1035.0,CA,1,Promenades ouvertes,1072.0,Square,1978,210.0,250.57309035,0,0.000966183574879227,0.2028985507246377,2.322384327229227,48.830887053238875,14.0,Ouest,47,Moyen,48.830887053238875,2.322384327229227
RUE DE LA,1.0,144083.0,CP,1,Promenades ouvertes,123338.0,Parc,1988,81556.0,2889.00489867,0,6.940444049610294e-06,0.5660348549100171,2.275545326640901,48.8406687240362,15.0,Ouest,37,Grand,48.8406687240362,2.275545326640901
RUE,1.0,43.0,CP,0,Murs végétalisés,21.0,Murs vegetalises,2006,45.52628324056896,67.71195942,2,0.023255813953488372,1.0,2.3891943531322903,48.863581336723385,20.0,Nord,19,Petit,48.863581336723385,2.3891943531322903
RUE DES,3.0,28.0,CA,0,Décorations sur la voie publique,27.0,Jardiniere,2020,28.0,181.36106644,2,0.10714285714285714,1.0,2.398995922958215,48.86370730859648,20.0,Nord,5,Petit,48.86370730859648,2.398995922958215
RUE,2.0,22.0,CA,0,Décorations sur la voie publique,22.0,Jardiniere,2014,22.0,28.42633841,2,0.09090909090909091,1.0,2.360841764499769,48.82249848972437,13.0,Sud,11,Petit,48.82249848972437,2.360841764499769
ALLEE,14.0,43.0,CP,0,Murs végétalisés,49.0,Murs vegetalises,2004,45.52628324056896,132.09414228,2,0.32558139534883723,1.0,2.386979634107808,48.88418484759019,19.0,Nord,21,Petit,48.88418484759019,2.386979634107808
RUE,1.0,28.0,CA,0,Décorations sur la voie publique,30.0,Jardiniere,2004,28.0,23.96559337,2,0.03571428571428571,1.0,2.385586171974447,48.87671599896825,19.0,Nord,21,Petit,48.87671599896825,2.385586171974447
RUE DE,1.0,4200.0,CP,1,Cimetières,4298.0,Cimetière,1791,260.0,371.00680134,0,0.0002380952380952381,1.0,2.403675674450658,48.86071515934365,20.0,Nord,234,Moyen,48.86071515934365,2.403675674450658
RUE,1.0,4152.0,CA,1,Promenades ouvertes,2977.0,Jardin,1970,565.0,260.78160105,0,0.00024084778420038535,0.13607899807321772,2.345239417000581,48.89999601314406,18.0,Nord,55,Moyen,48.89999601314406,2.345239417000581
RUE DES,1.0,50.0,CA,0,Décorations sur la voie publique,46.0,Jardiniere,2003,50.0,28.13680541,2,0.02,1.0,2.39630812170776,48.879490076171926,19.0,Nord,22,Petit,48.879490076171926,2.39630812170776
QUAI DE LA,2.0,205.0,CA,0,Décorations sur la voie publique,225.0,Jardinet,2019,205.0,84.81845963,2,0.00975609756097561,1.0,2.375456750043383,48.88584389369733,19.0,Nord,6,Petit,48.88584389369733,2.375456750043383
RUE,1.0,14660.0,CA,1,Promenades ouvertes,13060.0,Square,1971,6726.0,621.59071416,0,6.821282401091406e-05,0.4587994542974079,2.271809330169906,48.83737098882387,15.0,Ouest,54,Grand,48.83737098882387,2.271809330169906
RUE DES,1.0,43.0,CP,0,Murs végétalisés,5.0,Murs vegetalises,2008,45.52628324056896,26.11547107,2,0.023255813953488372,1.0,2.363444277899732,48.87312462654129,10.0,Est,17,Petit,48.87312462654129,2.363444277899732
RUE,1.0,395.0,CA,1,"Ephémères, partagés, pédagogiques",351.0,Jardin partage,2006,395.0,77.1307576,0,0.002531645569620253,1.0,2.3840396148536183,48.87665096611751,19.0,Nord,19,Petit,48.87665096611751,2.3840396148536183
BOULEVARD DE LA,1.0,43.0,CP,0,Murs végétalisés,225.0,Murs vegetalises,2004,45.52628324056896,357.33571973,2,0.023255813953488372,1.0,2.4134009418751137,48.83882455247237,12.0,Sud,21,Petit,48.83882455247237,2.4134009418751137
RUE,1.0,100.0,CA,1,"Ephémères, partagés, pédagogiques",237.0,Jardin partage,2010,100.0,62.46766508,0,0.01,1.0,2.3564317547492526,48.85847731167387,4.0,Centre,15,Petit,48.85847731167387,2.3564317547492526
RUE DU,1.0,43.0,CP,0,Murs végétalisés,39.0,Murs vegetalises,2005,45.52628324056896,217.07154096,2,0.023255813953488372,1.0,2.285968566196419,48.86206763502391,16.0,Ouest,20,Petit,48.86206763502391,2.285968566196419
PLACE DU,2.0,43.0,CP,0,Murs végétalisés,10.0,Murs vegetalises,2010,45.52628324056896,56.70614233,2,0.046511627906976744,1.0,2.2862605899080557,48.86261975795856,16.0,Ouest,15,Petit,48.86261975795856,2.2862605899080557
RUE,1.0,43.0,CA,0,Murs végétalisés,7.0,Murs vegetalises,2007,45.52628324056896,20.14031555,2,0.023255813953488372,1.0,2.3227974527120026,48.891911154167765,17.0,Nord,18,Petit,48.891911154167765,2.3227974527120026
,1.0,1500.0,0,0,Périphérique,3132.0,Talus,2015,1473.1645702866226,453.07886552,2,0.0006666666666666666,0.9821097135244151,2.4153280214710104,48.84838896246185,20.0,Nord,10,Moyen,48.84838896246185,2.4153280214710104
,1.0,1500.0,0,0,Périphérique,336.0,Talus,2015,1473.1645702866226,138.76318933,2,0.0006666666666666666,0.9821097135244151,2.4143459405290244,48.84770261324933,20.0,Nord,10,Moyen,48.84770261324933,2.4143459405290244
,1.0,1500.0,0,0,Périphérique,785.0,Talus,2015,1473.1645702866226,161.80738648,2,0.0006666666666666666,0.9821097135244151,2.3276882272437387,48.90083556985672,17.0,Nord,10,Moyen,48.90083556985672,2.3276882272437387
ALLEE,17.0,1300.0,CA,0,Décorations sur la voie publique,1290.0,Jardiniere,2016,1300.0,936.52225637,2,0.013076923076923076,1.0,2.2836545568590867,48.84180641839315,15.0,Ouest,9,Moyen,48.84180641839315,2.2836545568590867
PLACE,1.0,2535.0,CA,1,Promenades ouvertes,2493.0,Square,1894,1624.0,281.50726504,1,0.0003944773175542406,0.6406311637080868,2.331516732812454,48.834299559955134,14.0,Ouest,131,Moyen,48.834299559955134,2.331516732812454
RUE,1.0,5167.0,CA,1,Promenades ouvertes,5075.0,Square,1982,3593.0,557.35217631,0,0.00019353590090961874,0.6953744919682601,2.313641387844564,48.83356591230296,14.0,Ouest,43,Moyen,48.83356591230296,2.313641387844564
VOIE,1.0,1196.0,CA,1,Etablissements sportifs,1179.0,Espace Vert,2015,1196.0,490.75807422,0,0.0008361204013377926,1.0,2.363118072650055,48.876056327242345,10.0,Est,10,Moyen,48.876056327242345,2.363118072650055
RUE DE LA,1.0,366.0,CA,1,Promenades ouvertes,327.0,Jardin,1986,170.0,75.37745669,0,0.00273224043715847,0.4644808743169399,2.4093649777968142,48.855371190833324,20.0,Nord,39,Petit,48.855371190833324,2.4093649777968142
RUE DU,1.0,43.0,CP,0,Murs végétalisés,7.0,Murs vegetalises,2007,45.52628324056896,23.19550528,2,0.023255813953488372,1.0,2.3747864964383303,48.82633533534941,13.0,Sud,18,Petit,48.82633533534941,2.3747864964383303
RUE,2.0,43.0,CP,0,Murs végétalisés,42.0,Murs vegetalises,2007,45.52628324056896,270.34947902,2,0.046511627906976744,1.0,2.382526613063155,48.82818479266212,13.0,Sud,18,Petit,48.82818479266212,2.382526613063155
BOULEVARD,1.0,576.0,CA,1,Jardinets décoratifs,485.0,Jardinet,1974,576.0,148.66581906,0,0.001736111111111111,1.0,2.3506941869796023,48.849374465964786,5.0,Est,51,Petit,48.849374465964786,2.3506941869796023
AVENUE,1.0,2660.0,CA,1,Promenades ouvertes,2708.0,Square,1935,1575.0,213.34803719,0,0.00037593984962406017,0.5921052631578947,2.318773488938656,48.823913244753186,14.0,Ouest,90,Moyen,48.823913244753186,2.318773488938656
AVENUE,1.0,13780.0,CA,1,Promenades ouvertes,13995.0,Parc,2004,9907.0,843.1082902,0,7.256894049346879e-05,0.7189404934687954,2.283435676849954,48.855754600367085,16.0,Ouest,21,Grand,48.855754600367085,2.283435676849954
